repo,language,topics,default_branch,deploy_count,pr_count,deployments_per_week_median,deployments_per_week_p85,deployments_per_week_p95,pr_cycle_time_hours_median,pr_cycle_time_hours_p85,pr_cycle_time_hours_p95,sample_window_start,sample_window_end
"canonical/microk8s","Python","cicd|developer-workstations|hacktoberfest|iot|k8s|kubernetes|snap","master","3","57","1.000","1.000","1.000","18.161","132.032","237.691","2024-10-22T15:10:07Z","2025-09-12T09:12:53Z"
"cilium/cilium","Go","bpf|cncf|cni|containers|ebpf|k8s|kernel|kubernetes|kubernetes-networking|loadbalancing|monitoring|networking|observability|security|troubleshooting|xdp","main","38","113","3.000","3.000","3.000","117.611","624.348","1037.870","2024-10-10T08:17:08Z","2025-10-02T18:34:42Z"
"coroot/coroot","Go","ai|alerting|apm|dashboard|database-monitoring|distributed-tracing|ebpf|metrics|microservice|monitoring|observability|prometheus|service-map|slo|sre|tracing","main","77","191","2.000","3.000","4.000","0.070","0.618","13.720","2024-10-03T09:18:13Z","2025-10-02T10:22:27Z"
"crossplane/crossplane","Go","cloud-computing|cloud-management|cloud-native|cncf|containers|control-plane|infrastructure|infrastructure-as-code|kubernetes|multicloud|serverless","main","24","155","3.000","3.000","3.000","34.381","299.617","1429.171","2024-10-25T09:31:23Z","2025-10-02T17:43:11Z"
"denoland/deno","Rust","deno|javascript|rust|typescript","main","55","379","1.000","2.000","2.100","14.871","141.330","394.585","2024-10-08T14:37:28Z","2025-10-02T20:27:54Z"
"derailed/k9s","Go","go|golang|k8s|k8s-cluster|k9s|kubernetes|kubernetes-cli|kubernetes-clusters","master","27","11","1.500","3.050","4.000","154.597","504.540","711.925","2024-11-10T17:10:10Z","2025-09-27T15:44:56Z"
"dgtlmoon/changedetection.io","Python","back-in-stock|change-alert|change-detection|change-monitoring|monitoring|notifications|restock-monitor|rss|self-hosted|url-monitor|web-scraping|website-change-detection|website-change-detector|website-change-monitor|website-change-notification|website-change-tracker|website-defacement-monitoring|website-monitor|website-monitoring|website-watcher","master","47","96","1.000","2.000","3.000","2.705","76.825","469.171","2024-10-11T11:04:56Z","2025-10-01T10:39:57Z"
"dokku/dokku","Shell","buildpack|containers|devops|docker|dokku|heroku|kubernetes|nomad|paas|self-hosted|selfhosted","master","24","83","1.000","2.000","2.100","7.695","30.096","100.629","2024-10-07T16:36:54Z","2025-09-29T06:08:53Z"
"Dokploy/dokploy","TypeScript","backend|backups|databases|deployment|devops|docker|frontend|mariadb|mongodb|mysql|nextjs|postgresql|self-hosted|vps","canary","92","65","2.000","3.700","4.900","30.692","169.476","419.789","2024-10-03T08:12:03Z","2025-09-30T05:14:30Z"
"elastic/kibana","TypeScript","dashboards|elasticsearch|hacktoberfest|kibana|metrics|observability|visualizations","main","52","172","2.000","3.000","3.900","45.548","191.889","487.826","2024-10-08T20:13:57Z","2025-10-02T22:58:31Z"
"etcd-io/etcd","Go","cncf|consensus|database|distributed-database|distributed-systems|etcd|go|key-value|kubernetes|raft","main","16","4","1.000","2.000","2.450","216.895","488.574","592.694","2024-11-12T16:31:13Z","2025-10-02T11:42:51Z"
"fluxcd/flux2","Go","continuous-delivery|gitops|gitops-toolkit|helm|kubernetes|kustomize","main","11","48","11.000","11.000","11.000","1.486","166.650","1600.469","2025-02-23T04:32:34Z","2025-10-01T10:02:59Z"
"getsentry/sentry","Python","apm|crash-reporting|crash-reports|csp-report|devops|django|error-logging|error-monitoring|fair-source|hacktoberfest|monitor|monitoring|python|sentry|tag-production","master","16395","1600","318.000","400.700","428.550","14.846","74.652","190.974","2024-10-03T01:12:03Z","2025-10-03T00:00:22Z"
"go-gitea/gitea","Go","bitbucket|cicd|devops|docker-registry-v2|git|git-gui|git-server|gitea|github|github-actions|gitlab|go|golang|hacktoberfest|maven-server|npm-registry|vue","main","20","17","1.000","2.000","2.000","7.786","110.005","425.513","2024-10-09T03:25:07Z","2025-10-02T18:08:12Z"
"grafana/grafana","TypeScript","alerting|analytics|business-intelligence|dashboard|data-visualization|elasticsearch|go|grafana|hacktoberfest|influxdb|metrics|monitoring|mysql|postgres|prometheus","main","99","249","5.000","7.000","7.000","13.637","165.449","374.609","2024-09-27T16:40:42Z","2025-10-02T23:53:31Z"
"httpie/cli","Python","api|api-client|api-testing|cli|client|curl|debugging|developer-tools|development|devops|http|http-client|httpie|json|python|rest|rest-api|terminal|usability|web","master","1","1","1.000","1.000","1.000","20.502","20.502","20.502","2024-11-01T17:29:56Z","2024-12-17T17:30:35Z"
